,선수,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,생일
84,퀸란01현3B,123,474,414,66,100,13,1,28,199,66,0,4,49,10,2,160,4,0,1,.242,.335,.481,.816,.361,107.6,2.79,1968-03-27
85,브리또05한SS,78,308,287,34,82,14,0,17,147,43,0,1,11,8,0,45,11,0,2,.286,.328,.512,.840,.374,127.3,2.74,1972-05-28
86,번즈18롯2B,133,505,462,80,124,34,5,23,237,64,5,2,33,9,2,133,8,1,0,.268,.329,.513,.842,.356,103.2,2.67,1990-08-07
87,우즈02두1B,119,469,407,53,104,18,3,25,203,82,5,2,50,5,3,123,11,0,7,.256,.339,.499,.838,.360,122.6,2.64,1969-08-19
88,번즈17롯2B,116,468,423,71,128,38,0,15,211,57,10,7,29,11,0,100,18,2,3,.303,.361,.499,.859,.375,116.2,2.62,1990-08-07
89,브라운15SRF,138,539,464,82,121,21,2,28,230,76,5,2,66,7,4,127,12,0,2,.261,.360,.496,.856,.374,118.8,2.61,1984-09-10
90,마이로우06롯LF,70,269,208,42,48,9,1,12,95,30,0,2,52,6,0,74,2,1,2,.231,.396,.457,.852,.394,155.0,2.61,1976-09-04
91,마르티네스02LRF,109,468,409,59,114,19,1,15,180,69,22,12,49,4,7,70,5,0,6,.279,.357,.440,.797,.349,114.7,2.56,1970-10-03
92,로하스17kCF,83,367,336,52,101,27,3,18,188,56,5,8,23,5,0,81,6,0,3,.301,.352,.560,.911,.388,124.7,2.53,1990-05-24
93,브룸바03현LF,70,297,264,45,80,18,1,14,142,51,3,5,29,2,0,43,6,0,2,.303,.374,.538,.912,.401,143.8,2.50,1974-04-21
94,클리어06한2B,93,323,284,37,77,14,0,7,112,25,6,4,33,5,0,60,9,0,1,.271,.356,.394,.750,.354,123.8,2.50,1973-08-21
95,브릭스99해CF,115,382,361,48,102,14,6,23,197,74,6,3,13,3,0,85,7,3,2,.283,.311,.546,.857,.357,108.2,2.48,1971-12-26
96,필15K1B,143,591,536,81,174,35,1,22,277,101,14,10,43,3,6,74,12,0,9,.325,.372,.517,.889,.387,123.8,2.44,1984-09-09
97,알드리지11넥LF,117,480,414,55,98,20,1,20,180,73,6,2,59,2,2,139,5,0,5,.237,.331,.435,.766,.351,110.6,2.40,1979-06-13
98,가르시아10롯RF,118,485,429,73,108,16,1,26,204,83,3,0,49,2,1,123,4,0,5,.252,.328,.476,.803,.356,109.3,2.40,1975-10-29
99,산토스01해DH,130,541,484,74,150,19,0,26,247,107,1,0,46,1,8,66,17,1,9,.310,.365,.510,.875,.382,121.2,2.38,1966-12-29
100,필14K1B,92,389,362,64,112,27,0,19,196,66,10,1,22,3,1,65,10,0,2,,,,,,,2.37,1984-09-09
101,마틴04LDH,107,420,358,45,104,16,4,9,155,52,7,0,51,6,3,57,7,0,5,,,,,,,2.35,1967-11-24
102,브리또04S3B,102,421,368,41,96,18,0,13,153,50,0,2,34,15,4,57,5,1,3,,,,,,,2.34,1972-05-28
103,브룸바08히DH,102,420,358,39,105,17,0,13,161,61,1,1,56,2,6,79,12,0,4,,,,,,,2.27,1974-04-21
104,마르테16k3B,91,381,325,52,86,16,0,22,168,74,0,0,50,1,0,51,12,0,5,,,,,,,2.27,1983-10-21
105,스나이더15넥RF,113,487,431,88,121,26,1,26,227,71,4,2,37,11,0,135,2,3,5,,,,,,,2.26,1982-05-25
106,고메즈16SSS,117,492,456,74,129,31,0,21,223,62,16,8,25,5,2,87,11,2,4,,,,,,,2.19,1988-03-05
107,풀리엄00SCF,91,326,288,46,77,13,1,16,140,55,2,2,27,7,1,55,11,0,4,,,,,,,2.18,1967-10-20
108,피커링06S1B,60,249,212,23,59,11,0,9,97,34,2,0,31,5,1,62,5,0,1,,,,,,,2.13,1976-09-29
109,필16K1B,132,544,499,71,156,37,1,20,255,86,10,3,33,5,0,70,16,0,7,,,,,,,2.12,1984-09-09
110,로맥17SRF,102,416,359,58,87,19,0,31,199,64,1,1,50,6,2,116,6,0,1,,,,,,,2.03,1985-09-30
111,타바레스00해LF,74,334,305,39,102,15,2,3,130,44,31,10,21,1,1,32,2,4,3,,,,,,,2.03,1971-03-26
112,펨버튼02K,75,316,271,28,69,13,1,11,117,48,2,1,23,19,3,56,6,0,3,,,,,,,2.00,1969-12-17
113,히메네스15L3B,70,299,279,37,87,17,2,11,141,46,8,2,12,4,1,48,4,0,4,,,,,,,1.97,1988-01-18
114,히메네스14롯1B,80,303,260,42,82,15,0,14,139,61,0,2,41,1,2,57,11,0,1,,,,,,,1.94,1982-05-07
115,폴02현DH,113,441,397,48,111,18,2,18,187,64,3,2,35,6,1,115,11,1,2,,,,,,,1.91,1969-06-21
116,피어슨99현DH,129,561,502,67,145,12,0,31,250,108,0,1,47,5,3,85,9,0,7,,,,,,,1.88,1974-01-31
117,화이트00롯RF,74,322,294,33,89,17,1,11,141,53,4,3,25,2,2,60,9,0,1,,,,,,,1.87,1969-10-12
118,얀01롯1B,106,390,330,52,89,18,0,17,158,62,1,1,52,2,2,88,7,0,6,,,,,,,1.86,1966-07-24
119,오리어리04삼,63,240,211,30,56,14,2,10,104,28,0,0,23,4,1,37,7,0,2,,,,,,,1.84,1969-08-04
120,브룸바09히DH,123,526,436,69,107,21,1,27,211,86,2,2,86,2,9,111,17,0,2,,,,,,,1.80,1974-04-21
121,라이온05롯1B,125,534,492,65,132,40,3,11,211,73,7,3,37,2,3,70,11,2,1,,,,,,,1.79,1971-11-15
122,댄블랙15k1B,54,225,198,25,66,10,1,12,114,32,0,0,25,2,2,52,4,0,0,,,,,,,1.77,1987-07-02
123,잉글린02S,78,279,248,33,70,18,0,6,106,36,0,1,23,5,0,47,5,0,3,,,,,,,1.73,1975-10-08
124,라이온04롯DH,102,438,404,52,121,28,0,12,185,55,3,1,25,5,2,66,5,1,3,,,,,,,1.72,1971-11-15
125,클락10넥LF,92,397,347,58,92,16,2,12,148,50,12,7,43,1,2,72,9,0,6,,,,,,,1.61,1976-03-05
126,엔젤04한,40,156,131,21,36,3,0,9,66,27,2,0,23,2,0,30,4,0,0,,,,,,,1.60,1975-02-16
127,가르시아18L3B,50,206,183,27,62,9,0,8,95,34,5,0,9,8,0,25,3,0,6,,,,,,,1.53,1985-04-12
128,조쉬벨14L3B,63,275,240,33,64,8,1,10,104,39,3,0,30,1,1,56,10,0,4,,,,,,,1.47,1986-11-13
129,알칸트라03LDH,79,325,292,38,82,12,2,16,146,44,0,1,29,1,3,64,8,0,3,,,,,,,1.46,1971-05-06
130,가르시아11한RF,72,292,268,37,66,12,0,18,132,61,1,5,24,0,1,55,5,0,0,,,,,,,1.42,1975-10-29
131,아두치16롯CF,64,272,247,46,72,18,3,7,117,41,15,2,18,1,1,59,5,1,5,,,,,,,1.41,1985-05-15
132,스크럭스18N1B,142,571,501,75,129,35,0,26,242,97,3,2,55,12,2,144,14,0,3,,,,,,,1.41,1987-09-23
133,살라디노20삼LF,44,163,132,26,37,8,0,6,63,27,6,1,23,7,0,41,3,0,1,,,,,,,1.35,1989-07-20
134,윌리엄스00현1B,37,164,133,22,33,7,0,12,76,26,0,0,25,4,0,36,4,0,2,,,,,,,1.29,1964-11-01
135,프랭클린03현3B,38,167,136,24,30,4,0,10,64,28,6,2,25,3,0,57,0,0,3,,,,,,,1.29,1972-04-25
136,필립스01현1B,66,260,230,37,60,10,0,15,115,46,1,0,25,5,0,62,10,0,0,,,,,,,1.24,1970-04-29
137,초이스18넥RF,96,397,349,55,90,19,0,17,160,61,2,1,33,10,2,79,4,0,5,,,,,,,1.19,1989-11-10
138,로마이어01L,60,239,205,28,55,8,1,11,98,47,0,2,25,2,5,50,6,0,7,,,,,,,1.15,1965-09-27
139,디아즈09한RF,62,229,207,37,55,14,0,15,114,39,2,1,17,2,2,76,11,0,3,,,,,,,1.13,1981-12-10
140,로티노14넥LF,79,247,216,30,66,18,0,2,90,22,2,0,29,1,3,22,7,0,1,,,,,,,1.11,1980-04-07
141,대톨라99LRF,101,298,265,33,74,12,1,9,115,42,0,0,26,4,0,49,6,0,3,,,,,,,1.11,1967-11-23
142,페레즈03롯DH,50,204,194,32,61,14,0,9,102,30,2,3,7,2,0,13,5,0,1,,,,,,,1.10,1969-06-04
143,샌즈18넥RF,25,93,86,17,27,1,1,12,66,37,0,1,6,0,0,27,2,0,1,,,,,,,1.05,1987-09-28
144,펠릭스98LDH,33,139,123,16,36,6,0,6,60,21,0,1,11,5,0,38,1,0,0,,,,,,,0.97,1967-03-10
145,아수아헤19롯2B,48,194,163,34,41,5,4,2,60,21,3,2,26,1,1,24,0,3,1,,,,,,,0.93,1991-11-02
146,서튼07KLF,34,128,106,14,29,7,0,3,45,10,0,0,21,1,4,25,0,0,0,,,,,,,0.93,1970-05-14
147,조셉19L1B,55,217,197,17,54,3,0,9,84,36,0,1,14,4,0,46,3,0,2,,,,,,,0.93,1991-07-16
148,로메로15두1B,76,305,265,30,67,16,0,12,119,50,2,0,29,4,1,48,9,0,7,,,,,,,0.92,1986-09-24
149,테이텀00L3B,20,84,72,12,21,4,1,4,39,10,0,0,10,2,1,12,2,0,0,,,,,,,0.91,1967-10-09
150,시오타니06S3B,23,103,91,15,27,4,0,3,40,19,1,0,7,2,1,12,2,0,3,,,,,,,0.90,1974-05-27
151,미첼00해,77,279,238,33,54,8,0,8,86,38,3,2,38,2,0,51,7,0,1,,,,,,,0.90,1969-08-06
152,발디리스16삼3B,44,190,154,24,41,6,0,8,71,33,0,0,31,2,0,17,9,0,3,,,,,,,0.84,1983-01-05
153,히메네스17L3B,51,198,181,29,50,6,1,7,79,30,3,5,13,3,0,19,8,0,1,,,,,,,0.82,1988-01-18
154,페레즈07롯RF,47,184,176,21,48,8,0,8,80,28,1,1,4,3,1,21,8,0,1,,,,,,,0.78,1969-06-04
155,에레라02롯RF,53,222,210,23,64,8,1,6,92,20,2,5,8,1,2,28,1,2,1,,,,,,,0.78,1972-08-30
156,한나한15LDH,32,126,107,17,35,9,0,4,56,22,0,0,12,3,0,31,4,1,3,,,,,,,0.76,1980-03-04
157,홀99삼CF,116,458,414,73,101,12,3,4,131,23,47,11,34,2,0,68,5,6,2,,,,,,,0.76,1969-06-17
158,맥스웰16롯CF,23,99,80,14,23,3,1,4,40,16,2,2,15,3,0,25,0,0,1,,,,,,,0.75,1983-11-06
159,스캇14SDH,33,130,105,17,28,7,0,6,53,17,0,0,20,3,1,18,1,0,2,,,,,,,0.72,1978-06-25
160,크루즈08삼1B,43,181,156,21,44,8,0,2,58,21,1,0,20,3,1,25,9,0,2,,,,,,,0.70,1973-01-28
161,카펜터00현LF,39,158,142,23,40,7,0,5,62,32,5,2,13,1,0,32,1,0,2,,,,,,,0.69,1968-07-23
162,캐세레스98O2B,113,444,408,40,102,13,1,2,123,36,18,5,24,3,1,53,6,8,1,,,,,,,0.65,1964-06-06
163,바에르가01삼2B,39,131,120,18,33,3,2,4,52,17,0,0,6,4,1,12,5,0,1,,,,,,,0.62,1968-11-04
164,스몰린스키19NRF,55,228,205,32,47,14,1,9,90,42,3,1,16,5,0,31,7,0,2,,,,,,,0.60,1989-02-09
165,쿨바03두3B,44,162,149,15,32,6,0,10,68,24,0,0,12,1,0,46,4,0,0,,,,,,,0.60,1972-06-05
166,뉴선02K,35,133,115,15,24,5,0,7,50,17,3,1,17,0,1,38,3,0,1,,,,,,,0.60,1964-07-03
167,배스00해,15,68,59,13,16,4,0,3,29,13,3,1,9,0,0,22,3,0,0,,,,,,,0.56,1974-06-22
168,혼즈00SLF,23,89,82,8,26,6,1,1,37,10,0,0,7,0,0,14,5,0,0,,,,,,,0.52,1970-11-02
169,베탄코트19NRF,53,224,203,23,50,8,0,8,82,29,1,1,18,1,0,51,1,0,2,,,,,,,0.49,1991-09-02
170,윌리엄슨19삼RF,40,168,154,19,42,7,1,4,63,15,0,1,13,0,0,50,2,0,1,,,,,,,0.47,1990-07-15
171,마테오05L,34,149,130,18,29,3,0,5,47,20,2,1,12,4,0,36,1,0,3,,,,,,,0.39,1978-02-10
172,가르시아02한SS,24,77,73,7,19,3,1,2,30,8,5,3,4,0,0,20,1,0,0,,,,,,,0.38,1975-05-20
173,펠릭스99LDH,97,384,336,53,85,18,1,13,144,58,1,0,41,2,4,85,6,0,5,,,,,,,0.35,1967-03-10
174,우드00롯CF,35,122,110,10,28,9,0,1,40,9,1,1,11,1,1,20,3,0,0,,,,,,,0.34,1967-01-04
175,스미스05한,30,109,100,11,22,3,0,6,43,19,0,0,7,1,0,25,3,0,1,,,,,,,0.34,1970-05-07
176,로니17L1B,23,93,79,7,22,5,0,3,36,12,0,0,11,1,1,14,1,0,2,,,,,,,0.34,1984-05-07
177,서브넥06K3B,40,151,143,14,32,3,1,4,49,15,2,1,6,1,0,17,2,0,1,,,,,,,0.31,1976-08-21
178,바워스99현RF,43,134,124,17,36,6,3,3,57,12,0,6,6,2,0,27,3,0,2,,,,,,,0.23,1971-05-02
179,모건15한CF,10,42,33,2,9,2,0,0,11,5,1,1,4,4,0,8,1,0,1,,,,,,,0.21,1980-07-02
180,쿡슨00LRF,20,86,81,14,18,2,1,6,40,20,1,0,5,0,1,25,4,0,0,,,,,,,0.19,1969-09-07
181,폭스15한DH,38,121,108,16,30,4,0,7,55,25,0,0,8,3,1,27,9,0,2,,,,,,,0.16,1982-07-20
182,알칸트라04두DH,37,151,130,19,30,4,0,6,52,25,0,1,17,2,0,40,2,0,2,,,,,,,0.16,1971-05-06
183,쿡슨03LRF,23,86,70,6,15,0,0,2,21,5,1,1,14,2,0,19,3,0,0,,,,,,,0.14,1969-09-07
184,스나이더14LCF,37,113,100,17,21,7,0,4,40,17,0,2,9,3,0,31,0,0,1,,,,,,,0.14,1982-05-25
185,박정현20한SS,30,64,61,6,17,3,0,1,23,9,0,0,3,0,0,17,2,0,0,,,,,,,0.14,2001-07-27
186,브래디98롯DH,70,169,155,18,40,6,4,3,63,6,4,1,6,2,1,30,3,6,0,,,,,,,0.11,1969-11-23
187,발데스08KSS,47,176,156,17,34,9,1,1,48,16,13,4,9,1,0,19,2,9,1,,,,,,,0.10,1978-05-20
188,호세07롯DH,23,100,86,5,22,4,0,1,29,12,0,0,14,0,3,12,3,0,0,,,,,,,0.10,1965-06-02
189,존갈06롯RF,43,124,107,10,26,6,0,0,32,10,0,2,15,0,2,12,7,1,1,,,,,,,0.06,1978-04-02
