,ID,이름,생일,팀,시즌,포지션,나이,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+
36,20,김동주,1976-02-03,두,2000,3B,25,127.0,539.0,469.0,78.0,159.0,29.0,1.0,31.0,283.0,106.0,5.0,2.0,51.0,13.0,1.0,65.0,17.0,0.0,6.0,0.33899999999999997,0.414,0.603,1.0170000000000001,0.439,168.2,7.28
37,25,김하성,1995-10-17,키,2019,SS,25,139.0,625.0,540.0,112.0,166.0,38.0,2.0,19.0,265.0,104.0,33.0,4.0,70.0,7.0,4.0,80.0,12.0,1.0,7.0,0.307,0.389,0.491,0.88,0.397,146.2,7.22
38,26,이정훈,1963-08-28,빙,1992,CF,30,111.0,437.0,369.0,89.0,133.0,17.0,2.0,25.0,229.0,68.0,21.0,3.0,46.0,10.0,1.0,27.0,6.0,3.0,9.0,0.36,0.436,0.621,1.056,0.46,182.0,7.18
39,27,마해영,1970-08-14,롯,1999,1B,30,132.0,579.0,503.0,111.0,187.0,38.0,4.0,35.0,338.0,119.0,6.0,9.0,59.0,10.0,5.0,65.0,11.0,0.0,7.0,0.37200000000000005,0.442,0.672,1.114,0.46799999999999997,180.7,7.18
40,28,김현수,1988-01-12,두,2008,LF,21,126.0,558.0,470.0,83.0,168.0,34.0,5.0,9.0,239.0,89.0,13.0,8.0,80.0,5.0,1.0,40.0,12.0,0.0,2.0,0.35700000000000004,0.45399999999999996,0.509,0.963,0.446,176.5,7.14
41,24,최정,1987-02-28,S,2013,3B,27,120.0,525.0,434.0,75.0,137.0,18.0,0.0,28.0,239.0,83.0,24.0,8.0,64.0,24.0,9.0,109.0,10.0,1.0,2.0,0.316,0.429,0.551,0.98,0.441,167.3,7.11
42,0,이종범,1970-08-15,K,2003,CF,34,132.0,595.0,524.0,110.0,165.0,43.0,1.0,20.0,270.0,61.0,50.0,10.0,59.0,7.0,5.0,58.0,8.0,1.0,4.0,0.315,0.389,0.515,0.904,0.39899999999999997,142.8,7.11
43,29,최익성,1972-02-11,삼,1997,CF,26,122.0,568.0,480.0,107.0,142.0,25.0,2.0,22.0,237.0,65.0,33.0,5.0,61.0,18.0,1.0,81.0,6.0,7.0,2.0,0.29600000000000004,0.39399999999999996,0.494,0.888,0.395,148.0,7.1
44,15,박병호,1986-07-10,넥,2013,1B,28,128.0,556.0,450.0,91.0,143.0,17.0,0.0,37.0,271.0,117.0,10.0,2.0,92.0,8.0,4.0,96.0,7.0,0.0,6.0,0.318,0.43700000000000006,0.602,1.0390000000000001,0.462,181.1,7.02
45,30,박건우,1990-09-08,두,2017,CF,28,131.0,543.0,483.0,91.0,177.0,40.0,2.0,20.0,281.0,78.0,20.0,3.0,41.0,10.0,2.0,64.0,15.0,5.0,4.0,0.366,0.424,0.5820000000000001,1.006,0.433,163.7,7.0
46,4,이대호,1982-06-21,롯,2007,1B,26,121.0,514.0,415.0,79.0,139.0,21.0,1.0,29.0,249.0,87.0,1.0,0.0,81.0,13.0,25.0,55.0,9.0,0.0,5.0,0.335,0.45299999999999996,0.6,1.053,0.461,194.2,7.0
47,31,김태균,1982-05-29,한,2012,1B,31,126.0,513.0,416.0,61.0,151.0,24.0,0.0,16.0,223.0,80.0,3.0,1.0,81.0,11.0,8.0,69.0,11.0,0.0,5.0,0.363,0.474,0.536,1.01,0.46299999999999997,195.6,6.97
48,32,한대화,1960-07-08,해,1990,3B,31,119.0,500.0,418.0,73.0,140.0,20.0,3.0,15.0,211.0,86.0,10.0,4.0,76.0,0.0,7.0,53.0,10.0,0.0,6.0,0.335,0.43200000000000005,0.505,0.937,0.43200000000000005,168.6,6.96
49,5,장종훈,1968-04-10,빙,1990,SS,23,120.0,496.0,411.0,73.0,119.0,15.0,3.0,28.0,224.0,91.0,8.0,7.0,69.0,11.0,5.0,84.0,3.0,0.0,5.0,0.29,0.401,0.545,0.946,0.429,165.1,6.94
50,19,김재환,1988-09-22,두,2018,LF,31,139.0,602.0,527.0,104.0,176.0,36.0,1.0,44.0,346.0,133.0,2.0,0.0,59.0,9.0,4.0,134.0,6.0,0.0,7.0,0.33399999999999996,0.405,0.657,1.062,0.43799999999999994,168.8,6.94
51,4,이대호,1982-06-21,롯,2011,1B,30,133.0,570.0,493.0,76.0,176.0,26.0,1.0,27.0,285.0,113.0,2.0,0.0,63.0,8.0,8.0,60.0,22.0,0.0,6.0,0.35700000000000004,0.433,0.578,1.011,0.455,180.0,6.89
52,28,김현수,1988-01-12,두,2009,LF,22,133.0,572.0,482.0,97.0,172.0,31.0,6.0,23.0,284.0,104.0,6.0,6.0,80.0,4.0,5.0,59.0,7.0,0.0,6.0,0.35700000000000004,0.44799999999999995,0.589,1.037,0.452,169.5,6.88
53,25,김하성,1995-10-17,키,2020,SS,26,138.0,622.0,533.0,111.0,163.0,24.0,1.0,30.0,279.0,109.0,23.0,2.0,75.0,8.0,3.0,68.0,12.0,3.0,3.0,0.306,0.397,0.523,0.9209999999999999,0.40700000000000003,147.4,6.87
54,33,정근우,1982-10-02,S,2009,2B,28,127.0,565.0,480.0,98.0,168.0,29.0,4.0,9.0,232.0,59.0,53.0,13.0,67.0,11.0,1.0,55.0,8.0,2.0,5.0,0.35,0.43700000000000006,0.483,0.92,0.41700000000000004,145.9,6.86
55,6,홍현우,1972-09-28,해,1992,2B,21,126.0,520.0,420.0,87.0,140.0,25.0,3.0,17.0,222.0,97.0,6.0,7.0,82.0,7.0,0.0,82.0,8.0,8.0,3.0,0.33299999999999996,0.447,0.529,0.976,0.436,166.1,6.85
56,7,양준혁,1969-05-26,삼,1993,1B,25,106.0,456.0,381.0,82.0,130.0,27.0,1.0,23.0,228.0,90.0,4.0,9.0,61.0,8.0,6.0,40.0,7.0,0.0,6.0,0.341,0.436,0.598,1.035,0.46799999999999997,212.0,6.85
57,3,이승엽,1976-08-18,삼,1997,1B,22,126.0,577.0,517.0,96.0,170.0,37.0,3.0,32.0,309.0,114.0,5.0,2.0,49.0,6.0,4.0,79.0,10.0,1.0,4.0,0.32899999999999996,0.391,0.598,0.988,0.43200000000000005,172.3,6.78
58,18,박재홍,1973-09-07,현,2000,CF,28,132.0,572.0,489.0,101.0,151.0,31.0,5.0,32.0,288.0,115.0,30.0,14.0,64.0,7.0,5.0,77.0,15.0,0.0,12.0,0.309,0.38799999999999996,0.589,0.977,0.415,150.7,6.75
59,3,이승엽,1976-08-18,삼,1998,1B,23,126.0,568.0,477.0,100.0,146.0,32.0,2.0,38.0,296.0,102.0,0.0,2.0,78.0,5.0,10.0,97.0,4.0,1.0,7.0,0.306,0.40399999999999997,0.621,1.024,0.434,175.9,6.73
60,7,양준혁,1969-05-26,삼,2007,DH,39,123.0,544.0,442.0,78.0,149.0,34.0,0.0,22.0,249.0,72.0,20.0,8.0,91.0,7.0,15.0,44.0,12.0,1.0,2.0,0.337,0.456,0.563,1.0190000000000001,0.455,187.9,6.72
61,28,김현수,1988-01-12,두,2015,LF,28,141.0,630.0,512.0,103.0,167.0,26.0,0.0,28.0,277.0,121.0,11.0,5.0,101.0,8.0,12.0,63.0,13.0,0.0,9.0,0.326,0.43799999999999994,0.541,0.9790000000000001,0.42700000000000005,163.2,6.7
62,7,양준혁,1969-05-26,삼,1995,LF,27,125.0,527.0,438.0,81.0,137.0,34.0,1.0,20.0,233.0,84.0,8.0,2.0,77.0,6.0,8.0,50.0,7.0,0.0,6.0,0.313,0.418,0.532,0.9490000000000001,0.42200000000000004,174.5,6.68
63,16,최형우,1983-12-16,K,2017,LF,35,142.0,629.0,514.0,98.0,176.0,36.0,3.0,26.0,296.0,120.0,0.0,1.0,96.0,11.0,8.0,82.0,15.0,0.0,8.0,0.342,0.45,0.5760000000000001,1.026,0.442,163.5,6.65
64,18,박재홍,1973-09-07,현,1997,CF,25,96.0,403.0,331.0,77.0,108.0,16.0,0.0,27.0,205.0,69.0,22.0,14.0,66.0,4.0,10.0,59.0,5.0,0.0,2.0,0.326,0.442,0.619,1.061,0.45799999999999996,193.7,6.65
65,13,호세,1965-06-02,롯,1999,LF,35,132.0,553.0,462.0,93.0,151.0,29.0,3.0,36.0,294.0,122.0,12.0,3.0,79.0,5.0,7.0,119.0,8.0,0.0,7.0,0.327,0.425,0.636,1.061,0.44299999999999995,164.4,6.64
66,23,김기태,1969-05-23,쌍,1992,1B,24,123.0,525.0,398.0,86.0,120.0,28.0,3.0,31.0,247.0,96.0,5.0,7.0,114.0,8.0,18.0,84.0,11.0,0.0,5.0,0.302,0.461,0.621,1.082,0.46299999999999997,183.7,6.63
67,15,박병호,1986-07-10,넥,2018,1B,33,113.0,488.0,400.0,88.0,138.0,20.0,0.0,43.0,287.0,112.0,0.0,1.0,68.0,17.0,10.0,114.0,9.0,0.0,3.0,0.345,0.457,0.718,1.175,0.478,190.9,6.62
68,34,양의지,1987-06-05,N,2019,C,33,118.0,459.0,390.0,61.0,138.0,26.0,0.0,20.0,224.0,68.0,4.0,3.0,48.0,15.0,4.0,43.0,13.0,0.0,6.0,0.354,0.43799999999999994,0.574,1.012,0.452,178.2,6.61
69,35,박정태,1969-01-27,롯,1992,2B,24,124.0,529.0,445.0,91.0,149.0,43.0,3.0,14.0,240.0,79.0,7.0,7.0,69.0,5.0,2.0,42.0,12.0,3.0,7.0,0.335,0.424,0.539,0.963,0.429,160.2,6.6
70,24,최정,1987-02-28,S,2017,3B,31,130.0,527.0,430.0,89.0,136.0,18.0,1.0,46.0,294.0,113.0,1.0,5.0,70.0,19.0,10.0,107.0,8.0,0.0,8.0,0.316,0.42700000000000005,0.684,1.111,0.456,167.5,6.56
71,36,이만수,1958-09-19,삼,1985,C,28,103.0,423.0,357.0,63.0,115.0,19.0,2.0,22.0,204.0,87.0,7.0,9.0,42.0,14.0,6.0,37.0,13.0,1.0,9.0,0.322,0.405,0.5710000000000001,0.977,0.434,176.4,6.56
72,6,홍현우,1972-09-28,해,1995,3B,24,125.0,531.0,465.0,63.0,142.0,24.0,1.0,16.0,216.0,65.0,34.0,5.0,58.0,4.0,7.0,65.0,1.0,1.0,3.0,0.305,0.385,0.465,0.8490000000000001,0.38299999999999995,148.2,6.53
73,4,이대호,1982-06-21,롯,2006,1B,25,122.0,499.0,443.0,71.0,149.0,26.0,0.0,26.0,253.0,88.0,0.0,1.0,39.0,16.0,5.0,55.0,11.0,0.0,1.0,0.336,0.409,0.5710000000000001,0.98,0.445,192.4,6.52
74,15,박병호,1986-07-10,넥,2012,1B,27,133.0,560.0,469.0,76.0,136.0,34.0,0.0,31.0,263.0,105.0,20.0,9.0,73.0,11.0,3.0,111.0,6.0,0.0,7.0,0.29,0.39299999999999996,0.561,0.9540000000000001,0.43,174.5,6.51
75,37,나바로,1987-10-31,삼,2015,2B,29,140.0,643.0,534.0,126.0,153.0,19.0,1.0,48.0,318.0,137.0,22.0,6.0,93.0,6.0,8.0,72.0,10.0,1.0,9.0,0.287,0.39299999999999996,0.596,0.988,0.41600000000000004,143.1,6.45
76,38,송지만,1973-03-02,한,2000,RF,28,120.0,530.0,468.0,93.0,158.0,33.0,2.0,32.0,291.0,90.0,20.0,7.0,52.0,7.0,2.0,72.0,10.0,0.0,3.0,0.33799999999999997,0.409,0.622,1.031,0.44299999999999995,166.6,6.44
77,34,양의지,1987-06-05,두,2018,C,32,133.0,503.0,439.0,84.0,157.0,29.0,1.0,23.0,257.0,77.0,6.0,0.0,45.0,13.0,6.0,40.0,13.0,0.0,6.0,0.358,0.42700000000000005,0.585,1.013,0.431,160.5,6.42
78,39,심재학,1972-10-18,두,2001,RF,30,117.0,469.0,369.0,83.0,127.0,20.0,1.0,24.0,221.0,88.0,7.0,1.0,86.0,7.0,8.0,50.0,6.0,4.0,3.0,0.344,0.473,0.599,1.072,0.466,179.5,6.41
79,40,페르난데스,1974-11-02,S,2002,3B,29,132.0,556.0,499.0,81.0,140.0,24.0,0.0,45.0,299.0,107.0,4.0,4.0,49.0,7.0,2.0,114.0,8.0,0.0,1.0,0.281,0.353,0.599,0.9520000000000001,0.40399999999999997,153.3,6.39
80,41,우즈,1969-08-19,O,1998,1B,30,126.0,521.0,452.0,77.0,138.0,14.0,1.0,42.0,280.0,103.0,1.0,2.0,65.0,2.0,5.0,115.0,13.0,0.0,2.0,0.305,0.39399999999999996,0.619,1.013,0.434,181.2,6.38
81,7,양준혁,1969-05-26,삼,2004,1B,36,133.0,584.0,479.0,95.0,151.0,30.0,0.0,28.0,265.0,103.0,5.0,2.0,89.0,13.0,8.0,53.0,10.0,1.0,2.0,0.315,0.434,0.5529999999999999,0.987,0.439,167.5,6.37
82,24,최정,1987-02-28,S,2019,3B,33,141.0,606.0,503.0,86.0,147.0,27.0,0.0,29.0,261.0,99.0,3.0,2.0,69.0,26.0,6.0,92.0,4.0,0.0,8.0,0.292,0.39899999999999997,0.519,0.9179999999999999,0.41100000000000003,149.3,6.36
83,26,이정훈,1963-08-28,빙,1991,RF,29,111.0,433.0,379.0,81.0,132.0,21.0,12.0,17.0,228.0,55.0,18.0,6.0,43.0,4.0,2.0,33.0,6.0,4.0,3.0,0.348,0.41700000000000004,0.602,1.0190000000000001,0.451,183.2,6.36
84,42,데이비스,1969-10-03,한,2005,CF,37,118.0,507.0,431.0,90.0,139.0,24.0,0.0,24.0,235.0,86.0,7.0,3.0,65.0,5.0,7.0,76.0,8.0,0.0,6.0,0.32299999999999995,0.41200000000000003,0.545,0.958,0.424,160.4,6.35
85,43,쿨바,1966-06-13,현,1998,3B,33,115.0,471.0,410.0,68.0,130.0,27.0,1.0,26.0,237.0,97.0,2.0,3.0,51.0,5.0,3.0,102.0,5.0,0.0,5.0,0.317,0.395,0.578,0.973,0.42100000000000004,169.8,6.35
86,36,이만수,1958-09-19,삼,1987,C,30,85.0,357.0,299.0,56.0,103.0,14.0,1.0,18.0,173.0,76.0,6.0,2.0,47.0,4.0,4.0,23.0,16.0,0.0,7.0,0.344,0.431,0.579,1.01,0.45799999999999996,191.5,6.34
87,1,테임즈,1986-11-10,N,2014,1B,29,125.0,514.0,443.0,95.0,152.0,30.0,6.0,37.0,305.0,121.0,11.0,2.0,58.0,7.0,5.0,99.0,6.0,0.0,6.0,0.34299999999999997,0.42200000000000004,0.688,1.111,0.46399999999999997,168.3,6.32
88,44,홍문종,1954-11-14,롯,1984,CF,31,100.0,415.0,360.0,62.0,122.0,25.0,7.0,11.0,194.0,53.0,36.0,20.0,43.0,7.0,12.0,36.0,2.0,1.0,4.0,0.33899999999999997,0.41600000000000004,0.539,0.9540000000000001,0.426,177.7,6.32
89,45,김성래,1961-03-23,삼,1993,1B,33,124.0,521.0,436.0,64.0,131.0,18.0,2.0,28.0,237.0,91.0,2.0,1.0,69.0,5.0,0.0,72.0,17.0,2.0,9.0,0.3,0.395,0.544,0.9390000000000001,0.428,183.0,6.3
90,46,손아섭,1988-03-18,롯,2014,RF,27,122.0,570.0,483.0,105.0,175.0,25.0,3.0,18.0,260.0,80.0,10.0,3.0,80.0,5.0,7.0,78.0,7.0,0.0,2.0,0.36200000000000004,0.456,0.5379999999999999,0.9940000000000001,0.44299999999999995,154.6,6.26
91,36,이만수,1958-09-19,삼,1984,C,27,89.0,342.0,300.0,45.0,102.0,17.0,1.0,23.0,190.0,80.0,3.0,8.0,26.0,12.0,3.0,37.0,10.0,0.0,4.0,0.34,0.409,0.633,1.043,0.467,204.6,6.25
92,47,브리또,1972-05-28,S,2001,SS,30,122.0,510.0,422.0,59.0,135.0,27.0,0.0,22.0,228.0,80.0,7.0,3.0,57.0,24.0,7.0,53.0,12.0,2.0,5.0,0.32,0.425,0.54,0.966,0.426,151.0,6.23
93,15,박병호,1986-07-10,넥,2014,1B,29,128.0,571.0,459.0,126.0,139.0,16.0,2.0,52.0,315.0,124.0,8.0,3.0,96.0,12.0,3.0,142.0,13.0,0.0,4.0,0.303,0.433,0.6859999999999999,1.119,0.466,162.9,6.23
94,37,나바로,1987-10-31,삼,2014,2B,28,125.0,602.0,500.0,118.0,154.0,27.0,1.0,31.0,276.0,98.0,25.0,9.0,96.0,1.0,1.0,71.0,7.0,0.0,5.0,0.308,0.41700000000000004,0.552,0.9690000000000001,0.424,139.2,6.23
95,48,이순철,1961-04-18,해,1988,CF,28,108.0,477.0,406.0,81.0,127.0,26.0,2.0,13.0,196.0,52.0,58.0,20.0,52.0,12.0,2.0,37.0,7.0,4.0,3.0,0.313,0.40399999999999997,0.483,0.887,0.40399999999999997,153.0,6.22
96,48,이순철,1961-04-18,해,1992,CF,32,122.0,566.0,492.0,101.0,152.0,22.0,3.0,21.0,243.0,76.0,44.0,16.0,60.0,7.0,1.0,63.0,14.0,3.0,4.0,0.309,0.389,0.494,0.883,0.397,140.3,6.22
97,49,샌즈,1987-09-28,키,2019,RF,33,139.0,613.0,525.0,100.0,160.0,39.0,1.0,28.0,285.0,113.0,1.0,2.0,77.0,6.0,1.0,101.0,17.0,0.0,5.0,0.305,0.396,0.5429999999999999,0.9390000000000001,0.42100000000000004,163.6,6.21
98,7,양준혁,1969-05-26,삼,2003,LF,35,133.0,551.0,490.0,90.0,161.0,37.0,2.0,33.0,301.0,92.0,2.0,5.0,49.0,6.0,2.0,49.0,13.0,4.0,2.0,0.32899999999999996,0.395,0.614,1.0090000000000001,0.435,166.3,6.21
99,7,양준혁,1969-05-26,삼,1998,DH,30,126.0,552.0,456.0,80.0,156.0,30.0,1.0,27.0,269.0,89.0,15.0,14.0,87.0,5.0,26.0,69.0,14.0,0.0,3.0,0.342,0.45,0.59,1.04,0.442,181.7,6.2
