,ID,이름,생일,팀,시즌,포지션,나이,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,연봉(만원),연차
47,31,김태균,1982-05-29,한,2012,1B,31,126.0,513.0,416.0,61.0,151.0,24.0,0.0,16.0,223.0,80.0,3.0,1.0,81.0,11.0,8.0,69.0,11.0,0.0,5.0,0.363,0.474,0.536,1.01,0.463,195.6,6.97,150000.0,12.0
50,19,김재환,1988-09-22,두,2018,LF,31,139.0,602.0,527.0,104.0,176.0,36.0,1.0,44.0,346.0,133.0,2.0,0.0,59.0,9.0,4.0,134.0,6.0,0.0,7.0,0.334,0.405,0.657,1.062,0.438,168.8,6.94,47000.0,11.0
51,4,이대호,1982-06-21,롯,2011,1B,30,133.0,570.0,493.0,76.0,176.0,26.0,1.0,27.0,285.0,113.0,2.0,0.0,63.0,8.0,8.0,60.0,22.0,0.0,6.0,0.35700000000000004,0.433,0.578,1.011,0.455,180.0,6.89,63000.0,11.0
52,28,김현수,1988-01-12,두,2009,LF,22,133.0,572.0,482.0,97.0,172.0,31.0,6.0,23.0,284.0,104.0,6.0,6.0,80.0,4.0,5.0,59.0,7.0,0.0,6.0,0.35700000000000004,0.448,0.589,1.037,0.452,169.5,6.88,12600.0,4.0
53,25,김하성,1995-10-17,키,2020,SS,26,138.0,622.0,533.0,111.0,163.0,24.0,1.0,30.0,279.0,109.0,23.0,2.0,75.0,8.0,3.0,68.0,12.0,3.0,3.0,0.306,0.397,0.523,0.921,0.407,147.4,6.87,32000.0,7.0
54,33,정근우,1982-10-02,S,2009,2B,28,127.0,565.0,480.0,98.0,168.0,29.0,4.0,9.0,232.0,59.0,53.0,13.0,67.0,11.0,1.0,55.0,8.0,2.0,5.0,0.35,0.4370000000000001,0.483,0.92,0.417,145.9,6.86,17000.0,5.0
57,3,이승엽,1976-08-18,삼,1997,1B,22,126.0,577.0,517.0,96.0,170.0,37.0,3.0,32.0,309.0,114.0,5.0,2.0,49.0,6.0,4.0,79.0,10.0,1.0,4.0,0.329,0.391,0.598,0.988,0.4320000000000001,172.3,6.78,6500.0,3.0
58,18,박재홍,1973-09-07,현,2000,CF,28,132.0,572.0,489.0,101.0,151.0,31.0,5.0,32.0,288.0,115.0,30.0,14.0,64.0,7.0,5.0,77.0,15.0,0.0,12.0,0.309,0.388,0.589,0.977,0.415,150.7,6.75,13000.0,5.0
59,3,이승엽,1976-08-18,삼,1998,1B,23,126.0,568.0,477.0,100.0,146.0,32.0,2.0,38.0,296.0,102.0,0.0,2.0,78.0,5.0,10.0,97.0,4.0,1.0,7.0,0.306,0.404,0.621,1.024,0.434,175.9,6.73,8500.0,4.0
60,7,양준혁,1969-05-26,삼,2007,DH,39,123.0,544.0,442.0,78.0,149.0,34.0,0.0,22.0,249.0,72.0,20.0,8.0,91.0,7.0,15.0,44.0,12.0,1.0,2.0,0.337,0.456,0.563,1.019,0.455,187.9,6.72,40000.0,15.0
61,28,김현수,1988-01-12,두,2015,LF,28,141.0,630.0,512.0,103.0,167.0,26.0,0.0,28.0,277.0,121.0,11.0,5.0,101.0,8.0,12.0,63.0,13.0,0.0,9.0,0.326,0.438,0.541,0.979,0.4270000000000001,163.2,6.7,75000.0,10.0
63,16,최형우,1983-12-16,K,2017,LF,35,142.0,629.0,514.0,98.0,176.0,36.0,3.0,26.0,296.0,120.0,0.0,1.0,96.0,11.0,8.0,82.0,15.0,0.0,8.0,0.342,0.45,0.5760000000000001,1.026,0.442,163.5,6.65,150000.0,16.0
64,18,박재홍,1973-09-07,현,1997,CF,25,96.0,403.0,331.0,77.0,108.0,16.0,0.0,27.0,205.0,69.0,22.0,14.0,66.0,4.0,10.0,59.0,5.0,0.0,2.0,0.326,0.442,0.619,1.061,0.458,193.7,6.65,5000.0,2.0
67,15,박병호,1986-07-10,넥,2018,1B,33,113.0,488.0,400.0,88.0,138.0,20.0,0.0,43.0,287.0,112.0,0.0,1.0,68.0,17.0,10.0,114.0,9.0,0.0,3.0,0.345,0.457,0.718,1.175,0.478,190.9,6.62,150000.0,14.0
68,34,양의지,1987-06-05,N,2019,C,33,118.0,459.0,390.0,61.0,138.0,26.0,0.0,20.0,224.0,68.0,4.0,3.0,48.0,15.0,4.0,43.0,13.0,0.0,6.0,0.354,0.438,0.574,1.012,0.452,178.2,6.61,60000.0,13.0
70,24,최정,1987-02-28,S,2017,3B,31,130.0,527.0,430.0,89.0,136.0,18.0,1.0,46.0,294.0,113.0,1.0,5.0,70.0,19.0,10.0,107.0,8.0,0.0,8.0,0.316,0.4270000000000001,0.684,1.111,0.456,167.5,6.56,120000.0,13.0
73,4,이대호,1982-06-21,롯,2006,1B,25,122.0,499.0,443.0,71.0,149.0,26.0,0.0,26.0,253.0,88.0,0.0,1.0,39.0,16.0,5.0,55.0,11.0,0.0,1.0,0.336,0.409,0.5710000000000001,0.98,0.445,192.4,6.52,13000.0,6.0
74,15,박병호,1986-07-10,넥,2012,1B,27,133.0,560.0,469.0,76.0,136.0,34.0,0.0,31.0,263.0,105.0,20.0,9.0,73.0,11.0,3.0,111.0,6.0,0.0,7.0,0.29,0.393,0.561,0.954,0.43,174.5,6.51,6200.0,8.0
76,38,송지만,1973-03-02,한,2000,RF,28,120.0,530.0,468.0,93.0,158.0,33.0,2.0,32.0,291.0,90.0,20.0,7.0,52.0,7.0,2.0,72.0,10.0,0.0,3.0,0.338,0.409,0.622,1.031,0.443,166.6,6.44,8000.0,5.0
77,34,양의지,1987-06-05,두,2018,C,32,133.0,503.0,439.0,84.0,157.0,29.0,1.0,23.0,257.0,77.0,6.0,0.0,45.0,13.0,6.0,40.0,13.0,0.0,6.0,0.358,0.4270000000000001,0.585,1.013,0.431,160.5,6.42,60000.0,12.0
78,39,심재학,1972-10-18,두,2001,RF,30,117.0,469.0,369.0,83.0,127.0,20.0,1.0,24.0,221.0,88.0,7.0,1.0,86.0,7.0,8.0,50.0,6.0,4.0,3.0,0.344,0.473,0.599,1.072,0.466,179.5,6.41,11500.0,7.0
81,7,양준혁,1969-05-26,삼,2004,1B,36,133.0,584.0,479.0,95.0,151.0,30.0,0.0,28.0,265.0,103.0,5.0,2.0,89.0,13.0,8.0,53.0,10.0,1.0,2.0,0.315,0.434,0.5529999999999999,0.987,0.439,167.5,6.37,33000.0,12.0
82,24,최정,1987-02-28,S,2019,3B,33,141.0,606.0,503.0,86.0,147.0,27.0,0.0,29.0,261.0,99.0,3.0,2.0,69.0,26.0,6.0,92.0,4.0,0.0,8.0,0.292,0.399,0.519,0.918,0.411,149.3,6.36,120000.0,15.0
90,46,손아섭,1988-03-18,롯,2014,RF,27,122.0,570.0,483.0,105.0,175.0,25.0,3.0,18.0,260.0,80.0,10.0,3.0,80.0,5.0,7.0,78.0,7.0,0.0,2.0,0.362,0.456,0.5379999999999999,0.994,0.443,154.6,6.26,40000.0,8.0
93,15,박병호,1986-07-10,넥,2014,1B,29,128.0,571.0,459.0,126.0,139.0,16.0,2.0,52.0,315.0,124.0,8.0,3.0,96.0,12.0,3.0,142.0,13.0,0.0,4.0,0.303,0.433,0.6859999999999999,1.119,0.466,162.9,6.23,50000.0,10.0
98,7,양준혁,1969-05-26,삼,2003,LF,35,133.0,551.0,490.0,90.0,161.0,37.0,2.0,33.0,301.0,92.0,2.0,5.0,49.0,6.0,2.0,49.0,13.0,4.0,2.0,0.329,0.395,0.614,1.009,0.435,166.3,6.21,33000.0,11.0
99,7,양준혁,1969-05-26,삼,1998,DH,30,126.0,552.0,456.0,80.0,156.0,30.0,1.0,27.0,269.0,89.0,15.0,14.0,87.0,5.0,26.0,69.0,14.0,0.0,3.0,0.342,0.45,0.59,1.04,0.442,181.7,6.2,14000.0,6.0
100,50,홍성흔,1977-02-28,두,2004,C,28,133.0,552.0,501.0,62.0,165.0,27.0,2.0,14.0,238.0,86.0,10.0,7.0,36.0,10.0,2.0,70.0,8.0,3.0,2.0,0.329,0.384,0.475,0.8590000000000001,0.391,135.7,6.17,16000.0,6.0
103,31,김태균,1982-05-29,한,2008,1B,27,115.0,484.0,410.0,81.0,133.0,27.0,1.0,31.0,255.0,92.0,2.0,0.0,64.0,5.0,4.0,67.0,8.0,0.0,5.0,0.324,0.417,0.622,1.039,0.461,183.4,6.14,29000.0,8.0
104,20,김동주,1976-02-03,두,2002,3B,27,120.0,487.0,415.0,63.0,132.0,21.0,0.0,26.0,231.0,79.0,1.0,1.0,52.0,13.0,2.0,61.0,8.0,0.0,7.0,0.318,0.405,0.557,0.961,0.415,162.7,6.13,16500.0,5.0
107,22,유지현,1971-05-25,L,1998,SS,28,126.0,564.0,476.0,94.0,132.0,36.0,1.0,12.0,206.0,61.0,40.0,7.0,71.0,6.0,4.0,78.0,3.0,9.0,2.0,0.277,0.377,0.433,0.809,0.358,126.3,6.08,7000.0,5.0
109,51,나성범,1989-10-03,N,2014,CF,26,123.0,536.0,477.0,88.0,157.0,28.0,5.0,30.0,285.0,101.0,14.0,5.0,42.0,15.0,2.0,128.0,4.0,1.0,1.0,0.329,0.4,0.597,0.998,0.429,146.2,6.06,7500.0,2.0
113,46,손아섭,1988-03-18,롯,2013,RF,26,128.0,568.0,498.0,83.0,172.0,23.0,4.0,11.0,236.0,69.0,36.0,7.0,64.0,3.0,6.0,88.0,9.0,0.0,3.0,0.345,0.421,0.474,0.895,0.415,148.9,6.04,21000.0,7.0
114,53,장성호,1977-10-18,K,2002,1B,26,133.0,586.0,481.0,82.0,165.0,29.0,0.0,19.0,251.0,95.0,7.0,3.0,86.0,9.0,14.0,53.0,15.0,2.0,8.0,0.343,0.445,0.522,0.967,0.419,163.1,6.02,15000.0,7.0
115,31,김태균,1982-05-29,한,2003,1B,22,133.0,573.0,479.0,67.0,153.0,24.0,2.0,31.0,274.0,95.0,3.0,2.0,79.0,9.0,6.0,106.0,13.0,4.0,2.0,0.319,0.424,0.5720000000000001,0.996,0.4320000000000001,165.1,6.0,3500.0,3.0
118,55,조인성,1975-05-25,L,2010,C,36,133.0,511.0,457.0,69.0,145.0,24.0,1.0,28.0,255.0,107.0,2.0,0.0,41.0,3.0,8.0,83.0,19.0,5.0,5.0,0.317,0.374,0.5579999999999999,0.932,0.401,140.0,5.96,40000.0,13.0
119,34,양의지,1987-06-05,N,2020,C,34,130.0,528.0,461.0,86.0,151.0,26.0,1.0,33.0,278.0,124.0,5.0,2.0,46.0,14.0,7.0,47.0,11.0,1.0,6.0,0.328,0.4,0.603,1.003,0.4320000000000001,153.3,5.95,200000.0,14.0
121,6,홍현우,1972-09-28,해,1999,2B,28,129.0,561.0,487.0,99.0,146.0,26.0,0.0,34.0,274.0,111.0,31.0,6.0,64.0,3.0,1.0,104.0,10.0,3.0,4.0,0.3,0.382,0.563,0.944,0.401,136.3,5.91,10000.0,10.0
123,57,유한준,1981-07-01,넥,2015,RF,35,139.0,598.0,520.0,103.0,188.0,42.0,1.0,23.0,301.0,116.0,3.0,3.0,67.0,2.0,2.0,71.0,13.0,1.0,8.0,0.362,0.431,0.579,1.009,0.44,157.6,5.87,11500.0,11.0
124,58,김상현,1980-11-12,LK,2009,3B,30,121.0,496.0,448.0,77.0,141.0,30.0,2.0,36.0,283.0,127.0,7.0,5.0,41.0,6.0,1.0,103.0,11.0,0.0,1.0,0.315,0.379,0.632,1.011,0.431,155.4,5.87,6000.0,9.0
126,60,박용택,1979-04-21,L,2012,CF,34,127.0,556.0,499.0,82.0,152.0,34.0,3.0,11.0,225.0,76.0,30.0,8.0,42.0,7.0,1.0,66.0,9.0,1.0,7.0,0.305,0.362,0.451,0.813,0.377,136.9,5.86,35000.0,11.0
127,12,박석민,1985-06-22,삼,2013,3B,29,117.0,474.0,396.0,61.0,126.0,24.0,0.0,18.0,204.0,76.0,4.0,2.0,54.0,21.0,1.0,73.0,13.0,0.0,2.0,0.318,0.425,0.515,0.94,0.4320000000000001,162.0,5.85,28000.0,10.0
128,61,조성환,1976-12-23,롯,2008,2B,33,123.0,525.0,462.0,79.0,151.0,27.0,3.0,10.0,214.0,81.0,31.0,3.0,37.0,11.0,0.0,81.0,6.0,4.0,11.0,0.327,0.382,0.463,0.845,0.387,136.6,5.82,7000.0,10.0
129,24,최정,1987-02-28,S,2016,3B,30,141.0,606.0,500.0,106.0,144.0,24.0,1.0,40.0,290.0,106.0,1.0,2.0,77.0,23.0,2.0,126.0,6.0,0.0,6.0,0.28800000000000003,0.403,0.58,0.983,0.425,140.7,5.82,100000.0,12.0
130,60,박용택,1979-04-21,L,2009,LF,31,111.0,506.0,452.0,91.0,168.0,31.0,5.0,18.0,263.0,74.0,22.0,3.0,36.0,6.0,2.0,63.0,15.0,3.0,9.0,0.3720000000000001,0.418,0.5820000000000001,0.999,0.433,156.5,5.79,15000.0,8.0
132,51,나성범,1989-10-03,N,2017,RF,29,125.0,561.0,498.0,103.0,173.0,42.0,2.0,24.0,291.0,99.0,17.0,7.0,48.0,12.0,10.0,116.0,8.0,0.0,3.0,0.34700000000000003,0.415,0.584,1.0,0.428,154.3,5.78,35000.0,5.0
133,6,홍현우,1972-09-28,해,1997,3B,26,126.0,534.0,436.0,73.0,118.0,29.0,0.0,22.0,213.0,79.0,20.0,9.0,86.0,7.0,11.0,80.0,19.0,0.0,5.0,0.271,0.395,0.489,0.884,0.391,145.7,5.78,9600.0,8.0
135,20,김동주,1976-02-03,두,2009,3B,34,105.0,426.0,354.0,63.0,125.0,28.0,0.0,19.0,210.0,86.0,3.0,1.0,61.0,8.0,10.0,55.0,17.0,0.0,3.0,0.353,0.455,0.593,1.0490000000000002,0.454,170.9,5.76,70000.0,12.0
136,24,최정,1987-02-28,S,2011,3B,25,113.0,488.0,403.0,64.0,125.0,25.0,1.0,20.0,212.0,75.0,15.0,5.0,46.0,20.0,1.0,72.0,8.0,13.0,6.0,0.31,0.402,0.526,0.928,0.411,152.0,5.76,22000.0,7.0
137,19,김재환,1988-09-22,두,2016,LF,29,134.0,568.0,492.0,107.0,160.0,32.0,3.0,37.0,309.0,124.0,8.0,2.0,71.0,0.0,3.0,107.0,9.0,0.0,5.0,0.325,0.407,0.628,1.035,0.442,162.7,5.75,5000.0,9.0
138,46,손아섭,1988-03-18,롯,2017,RF,30,144.0,667.0,576.0,113.0,193.0,35.0,4.0,20.0,296.0,80.0,25.0,8.0,83.0,4.0,8.0,96.0,7.0,1.0,3.0,0.335,0.42,0.514,0.934,0.41,140.0,5.72,65000.0,11.0
139,11,이병규,1974-10-25,L,2004,CF,31,129.0,562.0,496.0,95.0,160.0,26.0,2.0,14.0,232.0,64.0,8.0,4.0,50.0,12.0,1.0,72.0,14.0,3.0,1.0,0.32299999999999995,0.397,0.468,0.865,0.396,139.4,5.72,22000.0,8.0
144,16,최형우,1983-12-16,K,2020,DH,38,140.0,600.0,522.0,93.0,185.0,37.0,1.0,28.0,308.0,115.0,0.0,0.0,70.0,5.0,5.0,101.0,9.0,0.0,3.0,0.354,0.433,0.59,1.023,0.45,168.4,5.7,150000.0,19.0
146,66,전준우,1986-02-25,롯,2018,LF,33,144.0,614.0,556.0,118.0,190.0,36.0,2.0,33.0,329.0,90.0,7.0,7.0,48.0,7.0,1.0,82.0,12.0,1.0,2.0,0.342,0.4,0.5920000000000001,0.991,0.421,146.3,5.67,27000.0,11.0
148,34,양의지,1987-06-05,두,2015,C,29,132.0,513.0,442.0,70.0,144.0,27.0,0.0,20.0,231.0,93.0,5.0,4.0,39.0,24.0,3.0,64.0,7.0,2.0,6.0,0.326,0.405,0.523,0.928,0.408,149.1,5.65,20000.0,9.0
149,67,이정후,1998-08-20,키,2020,RF,23,140.0,617.0,544.0,85.0,181.0,49.0,5.0,15.0,285.0,101.0,12.0,2.0,59.0,4.0,6.0,47.0,16.0,2.0,8.0,0.333,0.397,0.524,0.921,0.406,143.6,5.64,11000.0,4.0
150,2,심정수,1975-05-05,두,1999,RF,25,132.0,544.0,480.0,79.0,161.0,35.0,1.0,31.0,291.0,110.0,1.0,4.0,53.0,8.0,4.0,77.0,17.0,0.0,3.0,0.335,0.408,0.606,1.014,0.431,158.7,5.64,7000.0,6.0
151,53,장성호,1977-10-18,해,1999,LF,23,129.0,559.0,485.0,110.0,166.0,32.0,1.0,24.0,272.0,62.0,5.0,3.0,61.0,8.0,2.0,71.0,9.0,0.0,5.0,0.342,0.42,0.561,0.981,0.425,152.0,5.63,5000.0,4.0
154,69,이범호,1981-11-25,한,2004,3B,24,133.0,541.0,481.0,80.0,148.0,35.0,3.0,23.0,258.0,74.0,6.0,3.0,48.0,3.0,1.0,80.0,8.0,5.0,4.0,0.308,0.371,0.536,0.908,0.401,140.7,5.61,4500.0,5.0
155,20,김동주,1976-02-03,두,2003,DH,28,118.0,504.0,401.0,61.0,137.0,23.0,2.0,23.0,233.0,89.0,3.0,2.0,79.0,11.0,8.0,53.0,15.0,0.0,13.0,0.342,0.45,0.581,1.031,0.446,177.9,5.61,22500.0,6.0
156,27,마해영,1970-08-14,삼,2002,DH,33,133.0,596.0,532.0,92.0,172.0,40.0,2.0,33.0,315.0,116.0,2.0,0.0,46.0,12.0,5.0,74.0,14.0,0.0,6.0,0.32299999999999995,0.386,0.5920000000000001,0.978,0.418,161.3,5.61,20000.0,8.0
157,11,이병규,1974-10-25,L,1997,CF,24,126.0,550.0,495.0,82.0,151.0,31.0,8.0,7.0,219.0,69.0,23.0,5.0,43.0,8.0,3.0,50.0,6.0,1.0,3.0,0.305,0.368,0.442,0.81,0.366,130.5,5.6,2000.0,1.0
158,53,장성호,1977-10-18,K,2003,1B,27,130.0,571.0,476.0,93.0,150.0,36.0,2.0,21.0,253.0,105.0,13.0,4.0,84.0,3.0,7.0,52.0,7.0,3.0,5.0,0.315,0.417,0.532,0.949,0.415,154.2,5.58,20000.0,8.0
159,38,송지만,1973-03-02,한,2002,RF,30,131.0,557.0,488.0,84.0,142.0,18.0,2.0,38.0,278.0,104.0,8.0,3.0,58.0,9.0,4.0,136.0,14.0,0.0,2.0,0.29100000000000004,0.375,0.57,0.945,0.405,152.0,5.57,12500.0,7.0
160,70,박종호,1973-07-27,현,2000,2B,28,121.0,541.0,441.0,89.0,150.0,30.0,3.0,10.0,216.0,58.0,9.0,5.0,61.0,12.0,0.0,47.0,4.0,20.0,7.0,0.34,0.428,0.49,0.918,0.398,139.0,5.56,7500.0,9.0
162,71,정수근,1977-01-20,두,1999,CF,23,129.0,589.0,505.0,100.0,164.0,28.0,8.0,2.0,214.0,55.0,57.0,13.0,70.0,4.0,1.0,56.0,12.0,5.0,5.0,0.325,0.408,0.424,0.831,0.376,121.0,5.55,7600.0,5.0
