,이름,생일,시즌,연봉(만원),연차
68,박경완,1972-07-11,2006,40000,16
69,박경완,1972-07-11,2007,30000,17
70,박경완,1972-07-11,2008,30000,18
71,박경완,1972-07-11,2009,50000,19
72,박경완,1972-07-11,2010,50000,20
73,박경완,1972-07-11,2011,50000,21
74,박경완,1972-07-11,2012,50000,22
75,박경완,1972-07-11,2013,30000,23
76,강정호,1987-04-05,2006,,1
77,강정호,1987-04-05,2007,2000,2
78,강정호,1987-04-05,2008,2000,3
79,강정호,1987-04-05,2009,4400,4
80,강정호,1987-04-05,2010,4400,5
81,강정호,1987-04-05,2011,16000,6
82,강정호,1987-04-05,2012,18000,7
83,강정호,1987-04-05,2013,30000,8
84,강정호,1987-04-05,2014,900000,9
85,박석민,1985-06-22,2004,,1
86,박석민,1985-06-22,2005,2400,2
87,박석민,1985-06-22,2008,3200,5
88,박석민,1985-06-22,2009,8000,6
89,박석민,1985-06-22,2010,10500,7
90,박석민,1985-06-22,2011,13500,8
91,박석민,1985-06-22,2012,18000,9
92,박석민,1985-06-22,2013,28000,10
93,박석민,1985-06-22,2014,37000,11
94,박석민,1985-06-22,2015,37000,12
95,박석민,1985-06-22,2016,75000,13
96,박석민,1985-06-22,2017,75000,14
97,박석민,1985-06-22,2018,75000,15
98,박석민,1985-06-22,2019,75000,16
99,박석민,1985-06-22,2020,70000,17
100,호세,1965-06-02,1999,,1
101,호세,1965-06-02,2001,,3
102,호세,1965-06-02,2006,,8
103,호세,1965-06-02,2007,,9
104,로하스,1990-05-24,2017,,1
105,로하스,1990-05-24,2018,80000,2
106,로하스,1990-05-24,2019,80000,3
107,로하스,1990-05-24,2020,80000,4
108,박병호,1986-07-10,2005,,1
109,박병호,1986-07-10,2006,2800,2
110,박병호,1986-07-10,2009,3000,5
111,박병호,1986-07-10,2010,3500,6
112,박병호,1986-07-10,2011,3500,7
113,박병호,1986-07-10,2012,6200,8
114,박병호,1986-07-10,2013,22000,9
115,박병호,1986-07-10,2014,50000,10
116,박병호,1986-07-10,2015,70000,11
117,박병호,1986-07-10,2018,150000,14
118,박병호,1986-07-10,2019,150000,15
119,박병호,1986-07-10,2020,150000,16
120,최형우,1983-12-16,2002,,1
121,최형우,1983-12-16,2004,2000,3
122,최형우,1983-12-16,2008,5000,7
123,최형우,1983-12-16,2009,10000,8
124,최형우,1983-12-16,2010,13500,9
125,최형우,1983-12-16,2011,18500,10
126,최형우,1983-12-16,2012,30000,11
127,최형우,1983-12-16,2013,28000,12
128,최형우,1983-12-16,2014,45000,13
129,최형우,1983-12-16,2015,70000,14
130,최형우,1983-12-16,2016,70000,15
131,최형우,1983-12-16,2017,150000,16
132,최형우,1983-12-16,2018,150000,17
133,최형우,1983-12-16,2019,150000,18
134,최형우,1983-12-16,2020,150000,19
135,서건창,1989-08-22,2008,,1
136,서건창,1989-08-22,2012,2400,5
137,서건창,1989-08-22,2013,7700,6
138,서건창,1989-08-22,2014,9300,7
139,서건창,1989-08-22,2015,26000,8
140,서건창,1989-08-22,2016,26000,9
141,서건창,1989-08-22,2017,40000,10
142,서건창,1989-08-22,2018,38000,11
143,서건창,1989-08-22,2019,38000,12
144,서건창,1989-08-22,2020,38000,13
145,김재환,1988-09-22,2008,,1
146,김재환,1988-09-22,2011,2400,4
147,김재환,1988-09-22,2012,2600,5
148,김재환,1988-09-22,2014,2700,7
149,김재환,1988-09-22,2015,5000,8
150,김재환,1988-09-22,2016,5000,9
151,김재환,1988-09-22,2017,20000,10
152,김재환,1988-09-22,2018,47000,11
153,김재환,1988-09-22,2019,47000,12
154,김재환,1988-09-22,2020,65000,13
155,김동주,1976-02-03,1998,,1
156,김동주,1976-02-03,1999,4000,2
157,김동주,1976-02-03,2000,6200,3
158,김동주,1976-02-03,2001,12500,4
159,김동주,1976-02-03,2002,16500,5
160,김동주,1976-02-03,2003,22500,6
161,김동주,1976-02-03,2004,30000,7
162,김동주,1976-02-03,2005,32000,8
163,김동주,1976-02-03,2006,42000,9
164,김동주,1976-02-03,2007,42000,10
165,김동주,1976-02-03,2008,70000,11
166,김동주,1976-02-03,2009,70000,12
167,김동주,1976-02-03,2010,70000,13
168,김동주,1976-02-03,2011,70000,14
169,김동주,1976-02-03,2012,70000,15
170,김동주,1976-02-03,2013,70000,16
171,최정,1987-02-28,2005,,1
172,최정,1987-02-28,2006,2400,2
173,최정,1987-02-28,2007,3400,3
174,최정,1987-02-28,2008,9000,4
175,최정,1987-02-28,2009,15000,5
176,최정,1987-02-28,2010,16000,6
177,최정,1987-02-28,2011,22000,7
178,최정,1987-02-28,2012,28000,8
179,최정,1987-02-28,2013,52000,9
180,최정,1987-02-28,2014,70000,10
181,최정,1987-02-28,2015,100000,11
182,최정,1987-02-28,2016,100000,12
183,최정,1987-02-28,2017,120000,13
184,최정,1987-02-28,2018,120000,14
185,최정,1987-02-28,2019,120000,15
186,최정,1987-02-28,2020,120000,16
187,김하성,1995-10-17,2014,2400,1
188,김하성,1995-10-17,2015,16000,2
189,김하성,1995-10-17,2016,16000,3
190,김하성,1995-10-17,2017,22000,4
191,김하성,1995-10-17,2018,32000,5
192,김하성,1995-10-17,2019,32000,6
193,김하성,1995-10-17,2020,32000,7
194,김현수,1988-01-12,2006,,1
195,김현수,1988-01-12,2007,2000,2
196,김현수,1988-01-12,2008,4200,3
197,김현수,1988-01-12,2009,12600,4
198,김현수,1988-01-12,2010,25200,5
199,김현수,1988-01-12,2011,27000,6
200,김현수,1988-01-12,2012,30000,7
201,김현수,1988-01-12,2013,31000,8
202,김현수,1988-01-12,2014,45000,9
203,김현수,1988-01-12,2015,75000,10
204,김현수,1988-01-12,2018,140000,13
205,김현수,1988-01-12,2019,140000,14
206,김현수,1988-01-12,2020,130000,15
207,이종범,1970-08-15,1993,,1
208,이종범,1970-08-15,1994,,2
209,이종범,1970-08-15,1995,,3
210,이종범,1970-08-15,1996,,4
211,이종범,1970-08-15,1997,,5
212,이종범,1970-08-15,2001,35000,9
213,이종범,1970-08-15,2002,43000,10
214,이종범,1970-08-15,2003,45000,11
215,이종범,1970-08-15,2004,48000,12
216,이종범,1970-08-15,2005,43000,13
217,이종범,1970-08-15,2006,50000,14
218,이종범,1970-08-15,2007,50000,15
219,이종범,1970-08-15,2008,20000,16
220,이종범,1970-08-15,2009,20000,17
221,이종범,1970-08-15,2010,26000,18
222,이종범,1970-08-15,2011,19000,19
223,박건우,1990-09-08,2009,,1
224,박건우,1990-09-08,2013,2500,5
225,박건우,1990-09-08,2014,3100,6
226,박건우,1990-09-08,2015,7000,7
227,박건우,1990-09-08,2016,7000,8
228,박건우,1990-09-08,2017,19500,9
229,박건우,1990-09-08,2018,37000,10
230,박건우,1990-09-08,2019,37000,11
231,박건우,1990-09-08,2020,45000,12
232,김태균,1982-05-29,2001,,1
233,김태균,1982-05-29,2002,4000,2
234,김태균,1982-05-29,2003,3500,3
235,김태균,1982-05-29,2004,10500,4
236,김태균,1982-05-29,2005,15500,5
237,김태균,1982-05-29,2006,24000,6
238,김태균,1982-05-29,2007,31000,7
239,김태균,1982-05-29,2008,29000,8
240,김태균,1982-05-29,2009,42000,9
241,김태균,1982-05-29,2012,150000,12
242,김태균,1982-05-29,2013,150000,13
243,김태균,1982-05-29,2014,150000,14
244,김태균,1982-05-29,2015,160000,15
245,김태균,1982-05-29,2016,160000,16
246,김태균,1982-05-29,2017,160000,17
247,김태균,1982-05-29,2018,160000,18
248,김태균,1982-05-29,2019,160000,19
249,김태균,1982-05-29,2020,50000,20
250,정근우,1982-10-02,2005,,1
251,정근우,1982-10-02,2006,2400,2
252,정근우,1982-10-02,2007,6000,3
253,정근우,1982-10-02,2008,11000,4
254,정근우,1982-10-02,2009,17000,5
255,정근우,1982-10-02,2010,24000,6
256,정근우,1982-10-02,2011,31000,7
257,정근우,1982-10-02,2012,31000,8
258,정근우,1982-10-02,2013,55000,9
259,정근우,1982-10-02,2014,70000,10
260,정근우,1982-10-02,2015,70000,11
261,정근우,1982-10-02,2016,70000,12
262,정근우,1982-10-02,2017,70000,13
263,정근우,1982-10-02,2018,70000,14
264,정근우,1982-10-02,2019,70000,15
265,정근우,1982-10-02,2020,35000,16
266,양준혁,1969-05-26,1993,,1
267,양준혁,1969-05-26,1994,,2
268,양준혁,1969-05-26,1995,,3
269,양준혁,1969-05-26,1996,,4
270,양준혁,1969-05-26,1997,12000,5
271,양준혁,1969-05-26,1998,14000,6
272,양준혁,1969-05-26,1999,14000,7
273,양준혁,1969-05-26,2000,20000,8
274,양준혁,1969-05-26,2001,27000,9
275,양준혁,1969-05-26,2002,33000,10
276,양준혁,1969-05-26,2003,33000,11
277,양준혁,1969-05-26,2004,33000,12
278,양준혁,1969-05-26,2005,33000,13
279,양준혁,1969-05-26,2006,40000,14
280,양준혁,1969-05-26,2007,40000,15
281,양준혁,1969-05-26,2008,70000,16
282,양준혁,1969-05-26,2009,70000,17
283,양준혁,1969-05-26,2010,45000,18
284,양의지,1987-06-05,2007,2000,1
285,양의지,1987-06-05,2010,2400,4
286,양의지,1987-06-05,2011,7200,5
287,양의지,1987-06-05,2012,12500,6
288,양의지,1987-06-05,2013,15500,7
289,양의지,1987-06-05,2014,20000,8
290,양의지,1987-06-05,2015,20000,9
291,양의지,1987-06-05,2016,42000,10
292,양의지,1987-06-05,2017,48000,11
293,양의지,1987-06-05,2018,60000,12
294,양의지,1987-06-05,2019,60000,13
295,양의지,1987-06-05,2020,200000,14
296,나바로,1987-10-31,2014,25000,1
297,나바로,1987-10-31,2015,900000,2
298,심재학,1972-10-18,1995,,1
299,심재학,1972-10-18,1996,,2
300,심재학,1972-10-18,1997,4900,3
301,심재학,1972-10-18,1998,5600,4
302,심재학,1972-10-18,1999,7300,5
303,심재학,1972-10-18,2000,8000,6
304,심재학,1972-10-18,2001,11500,7
305,심재학,1972-10-18,2002,20000,8
306,심재학,1972-10-18,2003,17500,9
307,심재학,1972-10-18,2004,16500,10
308,심재학,1972-10-18,2005,25000,11
309,심재학,1972-10-18,2006,25000,12
310,심재학,1972-10-18,2007,25000,13
311,심재학,1972-10-18,2008,10000,14
312,페르난데스,1974-11-02,2002,,1
313,데이비스,1969-10-03,1999,,1
314,데이비스,1969-10-03,2000,,2
315,데이비스,1969-10-03,2001,,3
316,데이비스,1969-10-03,2002,,4
317,데이비스,1969-10-03,2004,,6
318,데이비스,1969-10-03,2005,,7
319,데이비스,1969-10-03,2006,,8
320,손아섭,1988-03-18,2007,,1
321,손아섭,1988-03-18,2008,,2
322,손아섭,1988-03-18,2009,4000,3
323,손아섭,1988-03-18,2010,4000,4
324,손아섭,1988-03-18,2011,8000,5
325,손아섭,1988-03-18,2012,13000,6
326,손아섭,1988-03-18,2013,21000,7
327,손아섭,1988-03-18,2014,40000,8
328,손아섭,1988-03-18,2015,60000,9
329,손아섭,1988-03-18,2016,60000,10
330,손아섭,1988-03-18,2017,65000,11
331,손아섭,1988-03-18,2018,150000,12
332,손아섭,1988-03-18,2019,150000,13
333,손아섭,1988-03-18,2020,200000,14
334,브리또,1972-05-28,2000,,1
335,브리또,1972-05-28,2001,,2
336,브리또,1972-05-28,2002,,3
337,브리또,1972-05-28,2003,,4
338,브리또,1972-05-28,2004,,5
339,브리또,1972-05-28,2005,,6
340,샌즈,1987-09-28,2018,,1
341,샌즈,1987-09-28,2019,,2
342,홍성흔,1977-02-28,1999,,1
343,홍성흔,1977-02-28,2000,4000,2
344,홍성흔,1977-02-28,2001,7500,3
345,홍성흔,1977-02-28,2002,12000,4
346,홍성흔,1977-02-28,2003,18000,5
347,홍성흔,1977-02-28,2004,16000,6
348,홍성흔,1977-02-28,2005,28000,7
349,홍성흔,1977-02-28,2006,32000,8
350,홍성흔,1977-02-28,2007,31000,9
351,홍성흔,1977-02-28,2008,31000,10
352,홍성흔,1977-02-28,2009,27900,11
353,홍성흔,1977-02-28,2010,40000,12
354,홍성흔,1977-02-28,2011,40000,13
355,홍성흔,1977-02-28,2012,40000,14
356,홍성흔,1977-02-28,2013,40000,15
357,홍성흔,1977-02-28,2014,40000,16
358,홍성흔,1977-02-28,2015,40000,17
359,홍성흔,1977-02-28,2016,900000,18
360,나성범,1989-10-03,2013,4000,1
361,나성범,1989-10-03,2014,7500,2
362,나성범,1989-10-03,2015,30000,3
363,나성범,1989-10-03,2016,30000,4
364,나성범,1989-10-03,2017,35000,5
365,나성범,1989-10-03,2018,43000,6
366,나성범,1989-10-03,2019,43000,7
367,나성범,1989-10-03,2020,50000,8
368,서튼,1970-05-14,2005,,1
369,서튼,1970-05-14,2006,,2
370,서튼,1970-05-14,2007,,3
371,장성호,1977-10-18,1996,,1
372,장성호,1977-10-18,1997,2500,2
373,장성호,1977-10-18,1998,3500,3
374,장성호,1977-10-18,1999,5000,4
375,장성호,1977-10-18,2000,7400,5
376,장성호,1977-10-18,2001,10000,6
377,장성호,1977-10-18,2002,15000,7
378,장성호,1977-10-18,2003,20000,8
379,장성호,1977-10-18,2004,25000,9
380,장성호,1977-10-18,2005,35000,10
381,장성호,1977-10-18,2006,45000,11
382,장성호,1977-10-18,2007,45000,12
383,장성호,1977-10-18,2008,55000,13
384,장성호,1977-10-18,2009,55000,14
385,장성호,1977-10-18,2010,55000,15
386,장성호,1977-10-18,2011,20000,16
387,장성호,1977-10-18,2012,13000,17
388,장성호,1977-10-18,2013,18000,18
389,장성호,1977-10-18,2014,14000,19
390,장성호,1977-10-18,2015,900000,20
391,조인성,1975-05-25,1998,,1
392,조인성,1975-05-25,1999,3000,2
393,조인성,1975-05-25,2000,4000,3
394,조인성,1975-05-25,2001,5700,4
395,조인성,1975-05-25,2002,5500,5
396,조인성,1975-05-25,2003,10000,6
397,조인성,1975-05-25,2004,15000,7
398,조인성,1975-05-25,2005,14000,8
399,조인성,1975-05-25,2006,13000,9
400,조인성,1975-05-25,2007,25000,10
401,조인성,1975-05-25,2008,40000,11
402,조인성,1975-05-25,2009,40000,12
403,조인성,1975-05-25,2010,40000,13
404,조인성,1975-05-25,2011,50000,14
405,조인성,1975-05-25,2012,40000,15
406,조인성,1975-05-25,2013,40000,16
407,조인성,1975-05-25,2014,40000,17
408,조인성,1975-05-25,2015,40000,18
409,조인성,1975-05-25,2016,40000,19
410,조인성,1975-05-25,2017,900000,20
411,유한준,1981-07-01,2005,2000,1
412,유한준,1981-07-01,2006,2100,2
413,유한준,1981-07-01,2007,3500,3
414,유한준,1981-07-01,2010,3500,6
415,유한준,1981-07-01,2011,8800,7
416,유한준,1981-07-01,2012,12500,8
417,유한준,1981-07-01,2013,11500,9
418,유한준,1981-07-01,2014,11500,10
419,유한준,1981-07-01,2015,11500,11
420,유한준,1981-07-01,2016,60000,12
421,유한준,1981-07-01,2017,60000,13
422,유한준,1981-07-01,2018,60000,14
423,유한준,1981-07-01,2019,60000,15
424,유한준,1981-07-01,2020,50000,16
425,김상현,1980-11-12,2001,1800,1
426,김상현,1980-11-12,2002,1800,2
427,김상현,1980-11-12,2003,2300,3
428,김상현,1980-11-12,2004,3500,4
429,김상현,1980-11-12,2007,4000,7
430,김상현,1980-11-12,2008,6000,8
431,김상현,1980-11-12,2009,6000,9
432,김상현,1980-11-12,2010,24000,10
433,김상현,1980-11-12,2011,20000,11
434,김상현,1980-11-12,2012,20000,12
435,김상현,1980-11-12,2013,20000,13
436,김상현,1980-11-12,2014,16000,14
437,김상현,1980-11-12,2015,20000,15
438,김상현,1980-11-12,2016,900000,16
439,박용택,1979-04-21,2002,,1
440,박용택,1979-04-21,2003,5000,2
441,박용택,1979-04-21,2004,7000,3
442,박용택,1979-04-21,2005,9000,4
443,박용택,1979-04-21,2006,15000,5
444,박용택,1979-04-21,2007,16000,6
445,박용택,1979-04-21,2008,18000,7
446,박용택,1979-04-21,2009,15000,8
447,박용택,1979-04-21,2010,31000,9
448,박용택,1979-04-21,2011,35000,10
449,박용택,1979-04-21,2012,35000,11
450,박용택,1979-04-21,2013,35000,12
451,박용택,1979-04-21,2014,35000,13
452,박용택,1979-04-21,2015,80000,14
453,박용택,1979-04-21,2016,80000,15
454,박용택,1979-04-21,2017,80000,16
455,박용택,1979-04-21,2018,80000,17
456,박용택,1979-04-21,2019,80000,18
457,박용택,1979-04-21,2020,80000,19
458,조성환,1976-12-23,1999,,1
459,조성환,1976-12-23,2000,2200,2
460,조성환,1976-12-23,2001,2300,3
461,조성환,1976-12-23,2002,2800,4
462,조성환,1976-12-23,2003,4200,5
463,조성환,1976-12-23,2004,8400,6
464,조성환,1976-12-23,2008,7000,10
465,조성환,1976-12-23,2009,13000,11
466,조성환,1976-12-23,2010,13000,12
467,조성환,1976-12-23,2011,18000,13
468,조성환,1976-12-23,2012,20000,14
469,조성환,1976-12-23,2013,20000,15
470,조성환,1976-12-23,2014,900000,16
471,이병규,1974-10-25,1997,2000,1
472,이병규,1974-10-25,1998,3800,2
473,이병규,1974-10-25,1999,6000,3
474,이병규,1974-10-25,2000,12000,4
475,이병규,1974-10-25,2001,20000,5
476,이병규,1974-10-25,2002,20000,6
477,이병규,1974-10-25,2003,25000,7
478,이병규,1974-10-25,2004,22000,8
479,이병규,1974-10-25,2005,30000,9
480,이병규,1974-10-25,2006,50000,10
481,이병규,1974-10-25,2010,40000,14
482,이병규,1974-10-25,2011,40000,15
483,이병규,1974-10-25,2012,60000,16
484,이병규,1974-10-25,2013,60000,17
485,이병규,1974-10-25,2014,80000,18
486,이병규,1974-10-25,2015,80000,19
487,이병규,1974-10-25,2016,900000,20
488,터커,1990-07-06,2019,,1
489,터커,1990-07-06,2020,55000,2
490,전준우,1986-02-25,2008,,1
491,전준우,1986-02-25,2009,2200,2
492,전준우,1986-02-25,2010,2800,3
493,전준우,1986-02-25,2011,7500,4
494,전준우,1986-02-25,2012,13000,5
495,전준우,1986-02-25,2013,15000,6
496,전준우,1986-02-25,2014,16000,7
497,전준우,1986-02-25,2016,20500,9
498,전준우,1986-02-25,2017,20500,10
499,전준우,1986-02-25,2018,27000,11
500,전준우,1986-02-25,2019,27000,12
501,전준우,1986-02-25,2020,50000,13
502,이정후,1998-08-20,2017,2700,1
503,이정후,1998-08-20,2018,11000,2
504,이정후,1998-08-20,2019,11000,3
505,이정후,1998-08-20,2020,11000,4
506,이범호,1981-11-25,2000,,1
507,이범호,1981-11-25,2001,2000,2
508,이범호,1981-11-25,2002,2400,3
509,이범호,1981-11-25,2003,3500,4
510,이범호,1981-11-25,2004,4500,5
511,이범호,1981-11-25,2005,10500,6
512,이범호,1981-11-25,2006,16000,7
513,이범호,1981-11-25,2007,23000,8
514,이범호,1981-11-25,2008,21000,9
515,이범호,1981-11-25,2009,33000,10
516,이범호,1981-11-25,2011,40000,12
517,이범호,1981-11-25,2012,49500,13
518,이범호,1981-11-25,2013,43500,14
519,이범호,1981-11-25,2014,45000,15
520,이범호,1981-11-25,2015,65000,16
521,이범호,1981-11-25,2016,65000,17
522,이범호,1981-11-25,2017,65000,18
523,이범호,1981-11-25,2018,65000,19
524,이범호,1981-11-25,2019,900000,20
525,마해영,1970-08-14,1995,,1
526,마해영,1970-08-14,1996,,2
527,마해영,1970-08-14,1997,5900,3
528,마해영,1970-08-14,1998,7000,4
529,마해영,1970-08-14,1999,7600,5
530,마해영,1970-08-14,2000,14500,6
531,마해영,1970-08-14,2001,15000,7
532,마해영,1970-08-14,2002,20000,8
533,마해영,1970-08-14,2003,38000,9
534,마해영,1970-08-14,2004,40000,10
535,마해영,1970-08-14,2005,40000,11
536,마해영,1970-08-14,2006,40000,12
537,마해영,1970-08-14,2007,40000,13
538,마해영,1970-08-14,2008,5000,14
539,송지만,1973-03-02,1996,,1
540,송지만,1973-03-02,1997,4000,2
541,송지만,1973-03-02,1998,4500,3
542,송지만,1973-03-02,1999,5500,4
543,송지만,1973-03-02,2000,8000,5
544,송지만,1973-03-02,2001,11600,6
545,송지만,1973-03-02,2002,12500,7
546,송지만,1973-03-02,2003,18000,8
547,송지만,1973-03-02,2004,18000,9
548,송지만,1973-03-02,2005,28000,10
549,송지만,1973-03-02,2006,50000,11
550,송지만,1973-03-02,2007,60000,12
551,송지만,1973-03-02,2008,22000,13
552,송지만,1973-03-02,2009,40000,14
553,송지만,1973-03-02,2010,40000,15
554,송지만,1973-03-02,2011,25000,16
555,송지만,1973-03-02,2012,25000,17
556,송지만,1973-03-02,2013,8000,18
557,황재균,1987-07-28,2007,2000,1
558,황재균,1987-07-28,2008,2800,2
559,황재균,1987-07-28,2009,4000,3
560,황재균,1987-07-28,2010,4000,4
561,황재균,1987-07-28,2011,10000,5
562,황재균,1987-07-28,2012,15000,6
563,황재균,1987-07-28,2013,18000,7
564,황재균,1987-07-28,2014,19000,8
565,황재균,1987-07-28,2015,50000,9
566,황재균,1987-07-28,2016,50000,10
567,황재균,1987-07-28,2018,120000,12
568,황재균,1987-07-28,2019,120000,13
569,황재균,1987-07-28,2020,120000,14
570,이용규,1985-08-26,2004,,1
571,이용규,1985-08-26,2005,2000,2
572,이용규,1985-08-26,2006,5500,3
573,이용규,1985-08-26,2007,11000,4
574,이용규,1985-08-26,2008,9000,5
575,이용규,1985-08-26,2009,15000,6
576,이용규,1985-08-26,2010,16000,7
577,이용규,1985-08-26,2011,20000,8
578,이용규,1985-08-26,2012,30000,9
579,이용규,1985-08-26,2013,34000,10
580,이용규,1985-08-26,2014,70000,11
581,이용규,1985-08-26,2015,70000,12
582,이용규,1985-08-26,2016,70000,13
583,이용규,1985-08-26,2017,90000,14
584,이용규,1985-08-26,2018,40000,15
585,이용규,1985-08-26,2020,40000,17
586,박재홍,1973-09-07,1996,,1
587,박재홍,1973-09-07,1997,5000,2
588,박재홍,1973-09-07,1998,7000,3
589,박재홍,1973-09-07,1999,10000,4
590,박재홍,1973-09-07,2000,13000,5
591,박재홍,1973-09-07,2001,22000,6
592,박재홍,1973-09-07,2002,22000,7
593,박재홍,1973-09-07,2003,27000,8
594,박재홍,1973-09-07,2004,33000,9
595,박재홍,1973-09-07,2005,28000,10
596,박재홍,1973-09-07,2006,40000,11
597,박재홍,1973-09-07,2007,40000,12
598,박재홍,1973-09-07,2008,40000,13
599,박재홍,1973-09-07,2009,40000,14
600,박재홍,1973-09-07,2010,40000,15
601,박재홍,1973-09-07,2011,40000,16
602,박재홍,1973-09-07,2012,20000,17
603,정성훈,1980-06-27,1999,,1
604,정성훈,1980-06-27,2000,4000,2
605,정성훈,1980-06-27,2001,4700,3
606,정성훈,1980-06-27,2002,5000,4
607,정성훈,1980-06-27,2003,7500,5
608,정성훈,1980-06-27,2004,12300,6
609,정성훈,1980-06-27,2005,15000,7
610,정성훈,1980-06-27,2006,18000,8
611,정성훈,1980-06-27,2007,22000,9
612,정성훈,1980-06-27,2008,32000,10
613,정성훈,1980-06-27,2009,35000,11
614,정성훈,1980-06-27,2010,4000,12
615,정성훈,1980-06-27,2011,35000,13
616,정성훈,1980-06-27,2012,35000,14
617,정성훈,1980-06-27,2013,50000,15
618,정성훈,1980-06-27,2014,50000,16
619,정성훈,1980-06-27,2015,50000,17
620,정성훈,1980-06-27,2016,50000,18
621,정성훈,1980-06-27,2017,30000,19
622,정성훈,1980-06-27,2018,900000,20
623,박한이,1979-01-28,2001,,1
624,박한이,1979-01-28,2002,4000,2
625,박한이,1979-01-28,2003,6500,3
626,박한이,1979-01-28,2004,11000,4
627,박한이,1979-01-28,2005,15000,5
628,박한이,1979-01-28,2006,20000,6
629,박한이,1979-01-28,2007,27000,7
630,박한이,1979-01-28,2008,24300,8
631,박한이,1979-01-28,2009,27000,9
632,박한이,1979-01-28,2010,30000,10
633,박한이,1979-01-28,2011,30000,11
634,박한이,1979-01-28,2012,30000,12
635,박한이,1979-01-28,2013,35000,13
636,박한이,1979-01-28,2014,45000,14
637,박한이,1979-01-28,2015,45000,15
638,박한이,1979-01-28,2016,45000,16
639,박한이,1979-01-28,2017,45000,17
640,박한이,1979-01-28,2018,25000,18
641,박한이,1979-01-28,2019,900000,19
642,이영우,1973-11-27,1996,,1
643,이영우,1973-11-27,1997,3900,2
644,이영우,1973-11-27,1998,3300,3
645,이영우,1973-11-27,1999,4000,4
646,이영우,1973-11-27,2000,7000,5
647,이영우,1973-11-27,2001,10500,6
648,이영우,1973-11-27,2002,12500,7
649,이영우,1973-11-27,2003,18000,8
650,이영우,1973-11-27,2004,25000,9
651,이영우,1973-11-27,2007,27000,12
652,이영우,1973-11-27,2008,21000,13
653,이영우,1973-11-27,2009,21000,14
654,이영우,1973-11-27,2010,13000,15
655,강민호,1985-08-18,2004,,1
656,강민호,1985-08-18,2005,2000,2
657,강민호,1985-08-18,2006,3500,3
658,강민호,1985-08-18,2007,8000,4
659,강민호,1985-08-18,2008,10000,5
660,강민호,1985-08-18,2009,14500,6
661,강민호,1985-08-18,2010,13500,7
662,강민호,1985-08-18,2011,20000,8
663,강민호,1985-08-18,2012,30000,9
664,강민호,1985-08-18,2013,55000,10
665,강민호,1985-08-18,2014,100000,11
666,강민호,1985-08-18,2015,100000,12
